Miestas,2021,2011,2001,1989,1979,1970,1959,1923,1897
Vilnius,546155,524406,542287,576747,475825,372100,236078,167400,154532
Kaunas,298753,315993,378943,418087,368649,305116,219287,92446,70920
Klaipėda,152008,162360,192954,202929,176648,140012,90521,35845,20100
Šiauliai,100653,109328,133883,145629,118724,93057,59722,21387,16128
Panevėžys,89100,99690,119749,126483,102303,73328,41096,19197,12968
Alytus,52727,59964,71491,73015,55509,28074,12350,6322,3445
Marijampolė,36727,41051,48675,50887,38824,28763,19621,9488,6777
Mažeikiai,33101,37020,42675,43547,25779,13468,7957,4300,1979
Jonava,27381,30650,34954,36520,28413,14438,5005,4115,5000
Utena,25343,28997,33860,34430,23461,13319,7158,4890,3200
Kėdainiai,23461,26648,32048,33840,27886,19677,10580,7415,6113
Telšiai,22642,25540,31460,33351,26369,20220,13460,4691,6205
Ukmergė,21258,23878,28759,30410,26601,21663,14880,10604,13532
Tauragė,21203,24389,29124,30119,25966,19461,12041,5470,6600
Visaginas,19446,22361,29554,32438,6212,0,0,0,0
Plungė,17543,20041,23436,22535,18829,13560,3672,4236,4500
Kretinga,17249,19010,21423,19516,16197,13091,9690,2532,3418
Palanga,16746,15732,17623,17571,11980,8797,5685,2000,2400
Šilutė,15952,17775,21476,21179,16000,12401,8969,4348,2100
Radviliškis,15103,17254,20339,21263,19232,16841,12613,5464,3900
Gargždai,15065,15021,15212,13409,10042,6414,1524,4700,3360
Druskininkai,12908,14764,18233,18943,12464,11160,5765,1000,1280
Rokiškis,11770,14351,16746,17826,13192,9146,5520,4325,2700
Elektrėnai,11255,12012,14050,15871,8466,6646,0,0,0
Kuršėnai,10916,11963,14197,14796,13223,11468,9099,2900,3200
Biržai,10734,12465,15262,15907,14401,11385,8624,5315,4413
Garliava,10366,11264,13322,12420,9418,5587,2489,936,1200
Vilkaviškis,10286,11547,13283,13829,11836,8566,5072,7263,5788
Jurbarkas,10186,11232,13797,14310,10644,6575,4412,4409,7400
Grigiškės,9950,10867,11448,11610,8259,4991,2559,0,0
Raseiniai,9865,11203,12541,13211,11403,8931,6242,5270,7455
Lentvaris,9713,11105,11773,12964,10167,8059,4216,2000,385
Prienai,8796,9867,11353,11909,9398,7841,5423,3260,2477
Anykščiai,8697,10575,11958,12758,10325,8238,5442,3500,3900
Joniškis,8612,9899,11329,11773,9303,7522,5889,4100,4828
Kaišiadorys,8380,8664,10002,10964,9022,4701,3011,1929,833
Varėna,8202,9240,10845,12291,8015,4494,2391,407,2624
Naujoji Akmenė,7985,9300,12345,13590,14195,10175,5410,0,0
Kelmė,7688,9150,10900,11557,9073,7087,5140,2900,3914
Šalčininkai,6857,6358,6722,6480,3857,1753,1676,687,459
Pasvalys,6451,7523,8709,9071,7370,6027,4248,2211,1699
Kupiškis,6218,7206,8451,8786,6307,4876,4127,2672,3742
Zarasai,6077,7165,8365,8916,7250,6605,4717,3785,6359
Širvintos,5827,6415,7273,7442,5146,3073,1652,2000,1676
Molėtai,5782,6434,7221,6843,5165,3665,1912,1770,2397
Kazlų Rūda,5590,6635,7401,7715,6312,4397,3478,1338,771
Skuodas,5508,6513,7896,8730,7269,4693,3131,3614,3041
Šakiai,5462,6051,6795,7226,5955,4227,2998,2044,2211
Trakai,5426,4933,5725,6703,5763,4667,3075,0,3240
Ignalina,5106,6007,6591,6872,4927,3515,2466,1500,300
Pabradė,4918,5994,6525,7360,6655,5919,4489,1835,503
Nemenčinė,4831,5054,5892,5612,4075,3208,2081,0,420
Švenčionėliai,4748,5771,6923,7712,6566,5964,4920,0,0
Šilalė,4729,5492,6281,6308,4242,2975,1972,1058,1502
Pakruojis,4594,5139,6057,6218,4809,3852,2427,1184,1420
Švenčionys,4448,4963,5684,6469,5284,4616,4006,0,6025
Vievis,4311,4915,5303,5663,4581,2957,2275,414,725
Kybartai,4126,5631,6556,7064,6676,6430,6240,6300,2364
Lazdijai,4016,4531,5140,5485,4364,3928,3109,2364,2538
Kalvarija,3982,4457,5090,5701,5879,5600,4698,4529,9378
Neringa,3609,2570,2386,2478,2242,1944,1468,0,0
Rietavas,3234,3251,3979,4490,4072,3421,2882,1720,3000
Žiežmariai,3158,3607,3884,3523,2622,1733,1598,2346,2616
Birštonas,3072,2646,3225,3537,2350,2228,1317,268,343
Eišiškės,2908,3416,3765,3789,3467,3477,2532,2382,3196
Ariogala,2743,3208,3697,4033,3646,2979,2360,1197,2376
Šeduva,2421,2895,3400,3584,3347,3309,3253,3186,4474
Akmenė,2355,2593,3140,3458,3075,2499,1819,1453,1501
Venta,2250,2392,3412,3827,3240,2534,1718,0,0
Viekšniai,2249,1938,2270,2410,2781,2731,2374,2024,2951
Rūdiškės,1985,2300,2559,2489,2249,2037,1483,0,0
Tytuvėnai,1850,2302,2851,3058,3111,3145,2206,1164,1000
Vilkija,1762,2131,2338,2629,2371,2277,1957,2068,2012
Ežerėlis,1640,1820,2051,2151,2060,2110,2189,132,0
Pagėgiai,1576,1941,2393,2568,2696,3332,3436,1404,662
Gelgaudiškis,1572,1761,2029,2724,2018,1835,1212,613,691
Skaudvilė,1427,1720,2140,2436,2465,2657,2723,1362,1390
Kudirkos Naumiestis,1381,1732,1997,2061,2090,2437,2574,3067,4595
Žagarė,1326,1712,2312,2649,2918,3381,3823,4730,8285
Linkuva,1283,1550,1797,2025,1876,1913,2144,1851,2077
Salantai,1272,1615,1942,2431,2086,2156,2321,1942,2446
Simnas,1247,1514,1980,2313,1625,1709,1661,1549,1642
Priekulė,1245,1413,1725,1826,1864,1853,1823,1101,0
Ramygala,1241,1581,1733,2018,2302,2113,1882,1329,1246
Veisiejai,1141,1430,1762,2079,1687,1463,1513,1295,1540
Jieznas,1047,1230,1476,1883,1854,2126,1797,1000,1255
Joniškėlis,1026,1201,1477,1585,1776,1871,2592,568,670
Daugai,1016,1170,1458,2144,2054,1530,1287,1153,1288
Baltoji Vokė,998,1101,1073,1128,959,1066,1086,0,0
Seda,903,1138,1309,1500,1679,1822,2133,1851,2062
Virbalis,885,1095,1351,1566,1635,1487,1429,4018,3293
Varniai,884,1140,1355,2028,2059,2030,1902,0,2834
Obeliai,871,1074,1371,1804,1648,2030,1907,1328,975
Subačius,869,1051,1180,1369,1361,1365,1216,0,750
Vabalninkas,857,1057,1328,1905,2205,2063,2360,1267,2333
Smalininkai,852,515,653,758,805,953,1117,1741,0
Dūkštas,732,888,1070,1193,1633,1502,1964,1076,1000
Pandėlys,692,809,1024,1167,1129,1406,1277,1000,1221
Užventis,600,833,898,1149,1229,1406,1704,0,945
Dusetos,531,717,914,1185,1393,1578,1806,1164,1278
Kavarskas,503,666,809,972,1113,1256,1287,1041,1546
Troškūnai,389,451,525,672,1174,1434,1495,1252,1000
Panemunė,217,274,329,398,506,492,539,637,0
